"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72459312301202521302.ret"
""
"Ignorado cancelamento automático título: 2400005525 2571 - BONAMIX SERVICOS DE 19/12/2024 BX 230,55 0"
"Ignorado cancelamento automático título: 2400005533 996 - AGROCERES MULTIMIX NU 19/12/2024 BX 229,75 0"
"Ignorado cancelamento automático título: 2400005545 2926 - R M DE BARROS TEXTIL 19/12/2024 BX 226,69 0"
"Ignorado cancelamento automático título: 2400005549 3338 - MINERACAO DOIS IRMAO 19/12/2024 BX 226,6 0"
"Ignorado cancelamento automático título: 2400005557 5626 - ALTERNATIVA LAVANDER 19/12/2024 BX 226,11 0"
"Ignorado cancelamento automático título: 2400005565 2749 - ASSOCIACAO MELHORAME 19/12/2024 BX 225,73 0"
"Ignorado cancelamento automático título: 2400005569 5219 - TECELAGEM PANAMERICA 19/12/2024 BX 225,59 0"
"Ignorado cancelamento automático título: 2400005573 4793 - AZS INDUSTRIA E COME 19/12/2024 BX 225,23 0"
"Ignorado cancelamento automático título: 2400005585 553 - DOEHLER AMERICA LATIN 19/12/2024 BX 222,87 0"
"Ignorado cancelamento automático título: 2400005597 1258 - STEFAN ANTONIO SLEUT 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005605 4738 - V & P TRANSPORTES DE 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005617 1204 - PLASCAR INDUSTRIA DE 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005633 3726 - SATOSHI ITO E OUTROS 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005657 1737 - TLMIX CONSTRUCOES IN 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005661 5609 - ASS MORADORES E PROP 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005681 81 - CONPROP DO BRASIL EMPR 19/12/2024 BX 219,58 0"
"Ignorado cancelamento automático título: 2400005685 7360 - CAMPMIX CONCRETO USI 19/12/2024 BX 218,97 0"
"Ignorado cancelamento automático título: 2400005705 3325 - GOODMAN ITUPEVA EMPR 19/12/2024 BX 215,84 0"
"Ignorado cancelamento automático título: 2400005721 579 - CPQ BRASIL S/A 19/12/2024 BX 215,1 0"
"Ignorado cancelamento automático título: 2400005741 1678 - JATOBA S/A 19/12/2024 BX 213,76 0"
"Ignorado cancelamento automático título: 2400005745 3862 - ROSANA CASERTA CARNE 19/12/2024 BX 213,59 0"
"Ignorado cancelamento automático título: 2400005749 837 - CLICK AUTOMOTIVA INDU 19/12/2024 BX 213,29 0"
"Ignorado cancelamento automático título: 2400005765 2871 - CERAMICA PALMA DE OU 19/12/2024 BX 210,79 0"
"Ignorado cancelamento automático título: 2400005777 4835 - TRANSPORTES GABARDO 19/12/2024 BX 210,79 0"
"Ignorado cancelamento automático título: 2400005801 222 - NOTRE DAME INTERMEDIC 19/12/2024 BX 208,09 0"
"Ignorado cancelamento automático título: 2400005813 1147 - TERROIR DE BRAGANCA 19/12/2024 BX 205,61 0"
"Ignorado cancelamento automático título: 2400005817 7770 - EVERTON CARLOS PASQU 19/12/2024 BX 205,44 0"
"Ignorado cancelamento automático título: 2400005825 1850 - DP & LF TRANSPORTES 19/12/2024 BX 204,94 0"
"Ignorado cancelamento automático título: 2400005853 239 - AMCOR PACKAGING DO BR 19/12/2024 BX 201,28 0"
